Year,Nivel,Género,GeoCode,Value
2018,Sin estudios,,860706,3062
2018,Sin estudios,,860707,755
2018,Sin estudios,,860708,88
2018,Sin estudios,,860709,2891
2018,Sin estudios,,860710,899
2018,Sin estudios,,860711,1340
2018,Sin estudios,,860712,2180
2018,Sin estudios,,860713,2133
2018,Sin estudios,,860714,2040
2018,Sin estudios,,860715,1610
2018,Sin estudios,,860716,1368
2018,Sin estudios,,860717,1821
2018,Sin estudios,,860718,1144
2018,Sin estudios,,860719,1234
2018,Sin estudios,,860720,1072
2018,Sin estudios,,860721,1001
2018,Sin estudios,,860722,789
2018,Sin estudios,,860723,957
2018,Sin estudios,,860724,3671
2018,Sin estudios,,860725,2394
2018,Sin estudios,,860726,2128
2018,Sin estudios,,860727,3610
2018,Sin estudios,,860728,2416
2018,Sin estudios,,860729,2877
2018,Sin estudios,,860730,592
2018,Sin estudios,,860731,135
2018,Sin estudios,,860732,880
2018,Sin estudios,,860733,819
2018,Sin estudios,,860734,943
2018,Sin estudios,,860735,823
2018,Sin estudios,,860736,1996
2018,Sin estudios,,860737,2712
2018,Sin estudios,,860738,801
2018,Sin estudios,,860739,477
2018,Sin estudios,,860740,601
2018,Sin estudios,,860741,151
2018,Sin estudios,,860742,96
2018,Sin estudios,,860743,10
2018,Sin estudios,,860744,254
2018,Sin estudios,,860745,31
2018,Sin estudios,,860746,123
2018,Sin estudios,,860747,1532
2018,Sin estudios,,860748,2387
2018,Sin estudios,,860749,597
2018,Sin estudios,,860750,467
2018,Sin estudios,,860751,3470
2018,Sin estudios,,860752,1191
2018,Sin estudios,,860753,630
2018,Sin estudios,,860754,2209
2018,Sin estudios,,860755,1886
2018,Sin estudios,,860756,3036
2018,Sin estudios,,860757,1003
2018,Sin estudios,,860758,606
2018,Sin estudios,,860759,2811
2018,Sin estudios,,860760,495
2018,Sin estudios,,860761,160
2018,Sin estudios,,860762,7
2018,Sin estudios,,860763,1183
2018,Sin estudios,,860764,721
2018,Sin estudios,,860765,585
2018,Sin estudios,,860766,1531
2018,Sin estudios,,860767,558
2018,Sin estudios,,860768,325
2018,Sin estudios,,860769,1404
2018,Sin estudios,,860770,198
2018,Sin estudios,,860771,184
2018,Sin estudios,,860772,108
2018,Sin estudios,,860773,403
2018,Sin estudios,,860774,296
2018,Sin estudios,,860775,101
2018,Enseñanza primaria incompleta,,860645,1500
2018,Enseñanza primaria incompleta,,860646,4080
2018,Enseñanza primaria incompleta,,860647,630
2018,Enseñanza primaria incompleta,,860648,833
2018,Enseñanza primaria incompleta,,860649,1999
2018,Enseñanza primaria incompleta,,860650,449
2018,Enseñanza primaria incompleta,,860651,1606
2018,Enseñanza primaria incompleta,,860652,2582
2018,Enseñanza primaria incompleta,,860653,1887
2018,Enseñanza primaria incompleta,,860654,653
2018,Enseñanza primaria incompleta,,860655,1767
2018,Enseñanza primaria incompleta,,860656,2096
2018,Enseñanza primaria incompleta,,860657,62
2018,Enseñanza primaria incompleta,,860658,2144
2018,Enseñanza primaria incompleta,,860659,1166
2018,Enseñanza primaria incompleta,,860660,1043
2018,Enseñanza primaria incompleta,,860661,1163
2018,Enseñanza primaria incompleta,,860662,272
2018,Enseñanza primaria incompleta,,860663,480
2018,Enseñanza primaria incompleta,,860664,418
2018,Enseñanza primaria incompleta,,860665,1250
2018,Enseñanza primaria incompleta,,860666,1299
2018,Enseñanza primaria incompleta,,860667,2004
2018,Enseñanza primaria incompleta,,860668,873
2018,Enseñanza primaria incompleta,,860669,547
2018,Enseñanza primaria incompleta,,860670,459
2018,Enseñanza primaria incompleta,,860671,1854
2018,Enseñanza primaria incompleta,,860672,981
2018,Enseñanza primaria incompleta,,860673,1080
2018,Enseñanza primaria incompleta,,860674,590
2018,Enseñanza primaria incompleta,,860675,680
2018,Enseñanza primaria incompleta,,860676,2719
2018,Enseñanza primaria incompleta,,860677,1999
2018,Enseñanza primaria incompleta,,860678,1197
2018,Enseñanza primaria incompleta,,860679,2851
2018,Enseñanza primaria incompleta,,860680,2761
2018,Enseñanza primaria incompleta,,860681,2503
2018,Enseñanza primaria incompleta,,860682,1163
2018,Enseñanza primaria incompleta,,860683,1380
2018,Enseñanza primaria incompleta,,860684,1303
2018,Enseñanza primaria incompleta,,860685,733
2018,Enseñanza primaria incompleta,,860686,1292
2018,Enseñanza primaria incompleta,,860687,725
2018,Enseñanza primaria incompleta,,860688,421
2018,Enseñanza primaria incompleta,,860689,93
2018,Enseñanza primaria incompleta,,860690,3780
2018,Enseñanza primaria incompleta,,860691,5538
2018,Enseñanza primaria incompleta,,860692,1949
2018,Enseñanza primaria incompleta,,860693,3664
2018,Enseñanza primaria incompleta,,860694,854
2018,Enseñanza primaria incompleta,,860695,509
2018,Enseñanza primaria incompleta,,860696,968
2018,Enseñanza primaria incompleta,,860697,1122
2018,Enseñanza primaria incompleta,,860698,631
2018,Enseñanza primaria incompleta,,860699,3108
2018,Enseñanza primaria incompleta,,860700,182
2018,Enseñanza primaria incompleta,,860701,92
2018,Enseñanza primaria incompleta,,860702,957
2018,Enseñanza primaria incompleta,,860703,2124
2018,Enseñanza primaria incompleta,,860704,5154
2018,Enseñanza primaria incompleta,,860705,4565
2018,Enseñanza primaria incompleta,,860706,9625
2018,Enseñanza primaria incompleta,,860707,2396
2018,Enseñanza primaria incompleta,,860708,279
2018,Enseñanza primaria incompleta,,860709,7727
2018,Enseñanza primaria incompleta,,860710,2838
2018,Enseñanza primaria incompleta,,860711,4131
2018,Enseñanza primaria incompleta,,860712,5386
2018,Enseñanza primaria incompleta,,860713,6408
2018,Enseñanza primaria incompleta,,860714,4698
2018,Enseñanza primaria incompleta,,860715,4254
2018,Enseñanza primaria incompleta,,860716,3914
2018,Enseñanza primaria incompleta,,860717,3196
2018,Enseñanza primaria incompleta,,860718,1919
2018,Enseñanza primaria incompleta,,860719,2990
2018,Enseñanza primaria incompleta,,860720,3099
2018,Enseñanza primaria incompleta,,860721,3693
2018,Enseñanza primaria incompleta,,860722,2058
2018,Enseñanza primaria incompleta,,860723,3024
2018,Enseñanza primaria incompleta,,860724,5737
2018,Enseñanza primaria incompleta,,860725,5615
2018,Enseñanza primaria incompleta,,860726,4929
2018,Enseñanza primaria incompleta,,860727,5879
2018,Enseñanza primaria incompleta,,860728,4872
2018,Enseñanza primaria incompleta,,860729,6970
2018,Enseñanza primaria incompleta,,860730,989
2018,Enseñanza primaria incompleta,,860731,340
2018,Enseñanza primaria incompleta,,860732,2636
2018,Enseñanza primaria incompleta,,860733,2072
2018,Enseñanza primaria incompleta,,860734,2378
2018,Enseñanza primaria incompleta,,860735,2299
2018,Enseñanza primaria incompleta,,860736,6034
2018,Enseñanza primaria incompleta,,860737,7624
2018,Enseñanza primaria incompleta,,860738,2545
2018,Enseñanza primaria incompleta,,860739,1762
2018,Enseñanza primaria incompleta,,860740,1597
2018,Enseñanza primaria incompleta,,860741,529
2018,Enseñanza primaria incompleta,,860742,248
2018,Enseñanza primaria incompleta,,860743,34
2018,Enseñanza primaria incompleta,,860744,618
2018,Enseñanza primaria incompleta,,860745,138
2018,Enseñanza primaria incompleta,,860746,325
2018,Enseñanza primaria incompleta,,860747,4593
2018,Enseñanza primaria incompleta,,860748,6374
2018,Enseñanza primaria incompleta,,860749,1272
2018,Enseñanza primaria incompleta,,860750,1177
2018,Enseñanza primaria incompleta,,860751,6233
2018,Enseñanza primaria incompleta,,860752,2338
2018,Enseñanza primaria incompleta,,860753,1357
2018,Enseñanza primaria incompleta,,860754,4664
2018,Enseñanza primaria incompleta,,860755,4919
2018,Enseñanza primaria incompleta,,860756,5513
2018,Enseñanza primaria incompleta,,860757,2281
2018,Enseñanza primaria incompleta,,860758,1715
2018,Enseñanza primaria incompleta,,860759,5466
2018,Enseñanza primaria incompleta,,860760,1145
2018,Enseñanza primaria incompleta,,860761,552
2018,Enseñanza primaria incompleta,,860762,52
2018,Enseñanza primaria incompleta,,860763,2985
2018,Enseñanza primaria incompleta,,860764,1542
2018,Enseñanza primaria incompleta,,860765,1379
2018,Enseñanza primaria incompleta,,860766,3096
2018,Enseñanza primaria incompleta,,860767,2106
2018,Enseñanza primaria incompleta,,860768,826
2018,Enseñanza primaria incompleta,,860769,3928
2018,Enseñanza primaria incompleta,,860770,656
2018,Enseñanza primaria incompleta,,860771,765
2018,Enseñanza primaria incompleta,,860772,229
2018,Enseñanza primaria incompleta,,860773,825
2018,Enseñanza primaria incompleta,,860774,614
2018,Enseñanza primaria incompleta,,860775,206
2018,"Bachiller elemental, Graduado escolar, ESO",,860645,3037
2018,"Bachiller elemental, Graduado escolar, ESO",,860646,7367
2018,"Bachiller elemental, Graduado escolar, ESO",,860647,1309
2018,"Bachiller elemental, Graduado escolar, ESO",,860648,1966
2018,"Bachiller elemental, Graduado escolar, ESO",,860649,4242
2018,"Bachiller elemental, Graduado escolar, ESO",,860650,1059
2018,"Bachiller elemental, Graduado escolar, ESO",,860651,2806
2018,"Bachiller elemental, Graduado escolar, ESO",,860652,4474
2018,"Bachiller elemental, Graduado escolar, ESO",,860653,3917
2018,"Bachiller elemental, Graduado escolar, ESO",,860654,1578
2018,"Bachiller elemental, Graduado escolar, ESO",,860655,3870
2018,"Bachiller elemental, Graduado escolar, ESO",,860656,4137
2018,"Bachiller elemental, Graduado escolar, ESO",,860657,151
2018,"Bachiller elemental, Graduado escolar, ESO",,860658,4257
2018,"Bachiller elemental, Graduado escolar, ESO",,860659,2247
2018,"Bachiller elemental, Graduado escolar, ESO",,860660,2433
2018,"Bachiller elemental, Graduado escolar, ESO",,860661,2517
2018,"Bachiller elemental, Graduado escolar, ESO",,860662,720
2018,"Bachiller elemental, Graduado escolar, ESO",,860663,1269
2018,"Bachiller elemental, Graduado escolar, ESO",,860664,1304
2018,"Bachiller elemental, Graduado escolar, ESO",,860665,3173
2018,"Bachiller elemental, Graduado escolar, ESO",,860666,2707
2018,"Bachiller elemental, Graduado escolar, ESO",,860667,4603
2018,"Bachiller elemental, Graduado escolar, ESO",,860668,2095
2018,"Bachiller elemental, Graduado escolar, ESO",,860669,1495
2018,"Bachiller elemental, Graduado escolar, ESO",,860670,1490
2018,"Bachiller elemental, Graduado escolar, ESO",,860671,4390
2018,"Bachiller elemental, Graduado escolar, ESO",,860672,2398
2018,"Bachiller elemental, Graduado escolar, ESO",,860673,2767
2018,"Bachiller elemental, Graduado escolar, ESO",,860674,1804
2018,"Bachiller elemental, Graduado escolar, ESO",,860675,1481
2018,"Bachiller elemental, Graduado escolar, ESO",,860676,6128
2018,"Bachiller elemental, Graduado escolar, ESO",,860677,4962
2018,"Bachiller elemental, Graduado escolar, ESO",,860678,2886
2018,"Bachiller elemental, Graduado escolar, ESO",,860679,4480
2018,"Bachiller elemental, Graduado escolar, ESO",,860680,5694
2018,"Bachiller elemental, Graduado escolar, ESO",,860681,5378
2018,"Bachiller elemental, Graduado escolar, ESO",,860682,2600
2018,"Bachiller elemental, Graduado escolar, ESO",,860683,2960
2018,"Bachiller elemental, Graduado escolar, ESO",,860684,2761
2018,"Bachiller elemental, Graduado escolar, ESO",,860685,2156
2018,"Bachiller elemental, Graduado escolar, ESO",,860686,3103
2018,"Bachiller elemental, Graduado escolar, ESO",,860687,1868
2018,"Bachiller elemental, Graduado escolar, ESO",,860688,775
2018,"Bachiller elemental, Graduado escolar, ESO",,860689,251
2018,"Bachiller elemental, Graduado escolar, ESO",,860690,7017
2018,"Bachiller elemental, Graduado escolar, ESO",,860691,9141
2018,"Bachiller elemental, Graduado escolar, ESO",,860692,4065
2018,"Bachiller elemental, Graduado escolar, ESO",,860693,7564
2018,"Bachiller elemental, Graduado escolar, ESO",,860694,2091
2018,"Bachiller elemental, Graduado escolar, ESO",,860695,942
2018,"Bachiller elemental, Graduado escolar, ESO",,860696,1710
2018,"Bachiller elemental, Graduado escolar, ESO",,860697,2622
2018,"Bachiller elemental, Graduado escolar, ESO",,860698,1463
2018,"Bachiller elemental, Graduado escolar, ESO",,860699,5144
2018,"Bachiller elemental, Graduado escolar, ESO",,860700,364
2018,"Bachiller elemental, Graduado escolar, ESO",,860701,199
2018,"Bachiller elemental, Graduado escolar, ESO",,860702,1940
2018,"Bachiller elemental, Graduado escolar, ESO",,860703,3454
2018,"Bachiller elemental, Graduado escolar, ESO",,860704,8831
2018,"Bachiller elemental, Graduado escolar, ESO",,860705,7487
2018,"Bachiller elemental, Graduado escolar, ESO",,860706,14739
2018,"Bachiller elemental, Graduado escolar, ESO",,860707,4002
2018,"Bachiller elemental, Graduado escolar, ESO",,860708,801
2018,"Bachiller elemental, Graduado escolar, ESO",,860709,11188
2018,"Bachiller elemental, Graduado escolar, ESO",,860710,5160
2018,"Bachiller elemental, Graduado escolar, ESO",,860711,7888
2018,"Bachiller elemental, Graduado escolar, ESO",,860712,9105
2018,"Bachiller elemental, Graduado escolar, ESO",,860713,11366
2018,"Bachiller elemental, Graduado escolar, ESO",,860714,8347
2018,"Bachiller elemental, Graduado escolar, ESO",,860715,8793
2018,"Bachiller elemental, Graduado escolar, ESO",,860716,7082
2018,"Bachiller elemental, Graduado escolar, ESO",,860717,5059
2018,"Bachiller elemental, Graduado escolar, ESO",,860718,3203
2018,"Bachiller elemental, Graduado escolar, ESO",,860719,5393
2018,"Bachiller elemental, Graduado escolar, ESO",,860720,5448
2018,"Bachiller elemental, Graduado escolar, ESO",,860721,6898
2018,"Bachiller elemental, Graduado escolar, ESO",,860722,3705
2018,"Bachiller elemental, Graduado escolar, ESO",,860723,5012
2018,"Bachiller elemental, Graduado escolar, ESO",,860724,8677
2018,"Bachiller elemental, Graduado escolar, ESO",,860725,10911
2018,"Bachiller elemental, Graduado escolar, ESO",,860726,8754
2018,"Bachiller elemental, Graduado escolar, ESO",,860727,10116
2018,"Bachiller elemental, Graduado escolar, ESO",,860728,6894
2018,"Bachiller elemental, Graduado escolar, ESO",,860729,11404
2018,"Bachiller elemental, Graduado escolar, ESO",,860730,1574
